band_id,year,first_nest,second_nest,tag,sex,recap,first_banded,age_cat,age,main_barn,pair_tag,pair_id,MB_side,top_color,bottom_color,date_captured,avg_rwl,lts_intact,avg_lts,rts_intact,avg_rts,feathers_sampled,mass,blood_sampled,feather_mites,malaria,B_avg.bright,B_hue,B_chroma,R_avg.bright,R_hue,R_chroma,T_avg.bright,T_hue,T_chroma,V_avg.bright,V_hue,V_chroma
2721-52833,2021,8,70,20,male,Y,2019,ASY,NA,Y,37,2880-69993,L,BLACK,ORANGE,6/5/21,118.5,Y,102,Y,101,Y,17.05,Y,27,N,26.66279718,599.1116667,0.439924074,25.99745532,604.4483333,0.462382745,26.26202164,575.422,0.455332635,25.06582718,654.3846667,0.470009678
2721-52843,2021,35,NA,1,male,Y,2019,ASY,NA,Y,45,2880-69856,R,ORANGE,LT GREEN,6/5/21,120,Y,94,Y,96,Y,18.44,Y,76,N,44.98518282,614.1096667,0.401619339,22.45775209,638.7543333,0.494394009,16.35556977,693.7883333,0.507776182,19.16460895,690.753,0.528606107
2721-52848,2021,NA,NA,NA,male,Y,2019,ASY,NA,N,NA,NA,L,WHITE,ORANGE,6/15/21,122,Y,90,Y,90,Y,16.09,Y,NA,N,26.26904411,649.6916667,0.443674365,30.25999344,612.12,0.449354518,17.52664043,641.4563333,0.46514616,23.6812789,663.4276667,0.470061575
2721-52853,2021,NA,NA,42,male,Y,2019,ASY,NA,N,NA,NA,L,WHITE,PINK,6/5/21,116,Y,83,Y,82,Y,16.11,Y,210,N,42.61385473,578.4436667,0.385190014,36.71612723,626.0953333,0.439442221,17.92357764,693.4246667,0.486715209,38.5002361,596.1153333,0.39708023
2721-52858,2021,12,12.2,16,female,Y,2019,ASY,NA,Y,3,2880-69855,L,ORANGE,DK GREEN,6/5/21,114,Y,77,Y,76,Y,18.84,Y,34,N,39.37057222,612.7363333,0.388913837,35.4333694,638.115,0.440435928,21.01092228,660.35075,0.465000301,24.35974586,652.1116667,0.457779538
2840-37288,2021,24,24.2,10,male,Y,2019,ASY,NA,Y,26,2880-69867,L,DK GREEN,LT GREEN,6/5/21,121.5,Y,83,Y,82,Y,16.26,Y,67,N,31.31641089,606.0593333,0.432458677,28.63896704,652.4813333,0.467592616,21.77699459,622.454,0.451185021,24.40998852,643.4306667,0.469141632
2840-37289,2021,52,NA,31,male,Y,2019,ASY,NA,Y,11,2880-69982,R,RED,LT GREEN,6/5/21,123,Y,99,Y,99,Y,17.17,Y,55,N,30.94696344,652.7933333,0.454711846,35.71086572,653.42,0.431074239,22.06877193,635.4246667,0.439816065,28.64309887,631.089,0.45008777
2840-37291,2021,30,29,24,female,Y,2019,ASY,NA,Y,43,2840-37296,R,PINK,PINK,6/5/21,118,Y,85,Y,81,Y,19.5,Y,32,N,39.46274963,642.7526667,0.396611716,35.98834727,643.6723333,0.419151417,14.45098869,681.1253333,0.526952398,27.30714543,665.722,0.439437872
2840-37293,2021,26,72,13,male,Y,2019,ASY,NA,Y,27,2880-69875,L,RED,DK GREEN,6/5/21,119,Y,81,Y,81,Y,18.25,Y,45,N,35.47314642,589.749,0.407800424,22.60293819,640.4216667,0.505611289,15.974909,676.449,0.475727401,27.11370717,658.7966667,0.439030977
2840-37296,2021,30,29,43,male,Y,2019,ASY,NA,Y,24,2840-37291,R,YELLOW,RED,6/5/21,118,Y,91,Y,91,Y,17.5,Y,17,N,42.3393589,592.825,0.40565847,34.5854648,627.727667,0.42760196,22.4006181,665.458667,0.42605065,30.1329267,636.092333,0.43378204
